Day,Verb,"Expression (EN)","Expression (KR)",Status
"Day 1",have,"I have a dream",,"한글 번역 없음"
"Day 1",have,"have a chance","가지다 기회를",정상
"Day 1",have,"have a dream","가지다 꿈을",정상
"Day 1",have,"have a feeling","가지다 감정을",정상
"Day 1",have,"have a goal","가지다 목표를",정상
"Day 1",have,"have a hope","가지다 희망을",정상
"Day 1",have,"have a wish","가지다 소망을",정상
"Day 1",have,"have an idea","가지다 아이디어를",정상
"Day 1",change,"I change my life",,"한글 번역 없음"
"Day 1",change,"change the date","바꾸다 날자를",정상
"Day 1",change,"change the future","바꾸다 미래를",정상
"Day 1",change,"change the life","바꾸다 생활을",정상
"Day 1",change,"change the mind","바꾸다 마음을",정상
"Day 1",change,"change the place","바꾸다 장소를",정상
"Day 1",change,"change the plan","바꾸다 계획을",정상
"Day 1",change,"change the time","바꾸다 시간을",정상
"Day 1",start,"I start my English trip",,"한글 번역 없음"
"Day 1",start,"start the class","시작하다 수업을",정상
"Day 1",start,"start the day","시작하다 하루를",정상
"Day 1",start,"start the game","시작하다 경기를",정상
"Day 1",start,"start the journey","시작하다 여행을",정상
"Day 1",start,"start the lesson","시작하다 수업을",정상
"Day 1",start,"start the match","시작하다 경기를",정상
"Day 1",start,"start the trip","시작하다 여행을",정상
"Day 2",learn,"I learn English",,"한글 번역 없음"
"Day 2",learn,"learn Chinese","배우다 중국어를",정상
"Day 2",learn,"learn English","배우다 영어를",정상
"Day 2",learn,"learn French","배우다 프랑스어를",정상
"Day 2",learn,"learn German","배우다 독일어를",정상
"Day 2",learn,"learn Japanese","배우다 일본어를",정상
"Day 2",learn,"learn Korean","배우다 한국어를",정상
"Day 2",learn,"learn Spanish","배우다 스페인어를",정상
"Day 2",understand,"I understand the problem",,"한글 번역 없음"
"Day 2",understand,"understand the difficulty","이해하다 어려움을",정상
"Day 2",understand,"understand the issue","이해하다 이슈를",정상
"Day 2",understand,"understand the lesson","이해하다 수업을",정상
"Day 2",understand,"understand the problem","이해하다 문제를",정상
"Day 2",understand,"understand the subject","이해하다 주제를",정상
"Day 2",understand,"understand the topic","이해하다 주제를",정상
"Day 2",understand,"understand the worry","이해하다 걱정을",정상
"Day 2",practice,"I practice speaking",,"한글 번역 없음"
"Day 2",practice,"practice dancing","연습하다 춤을",정상
"Day 2",practice,"practice drawing","연습하다 그리기를",정상
"Day 2",practice,"practice listening","연습하다 듣기를",정상
"Day 2",practice,"practice reading","연습하다 읽기를",정상
"Day 2",practice,"practice singing","연습하다 노래를",정상
"Day 2",practice,"practice speaking","연습하다 말하기를",정상
"Day 2",practice,"practice writing","연습하다 쓰기를",정상
"Day 3",tell,"I tell a secret",,"한글 번역 없음"
"Day 3",tell,"tell a difference","말하다 차이를",정상
"Day 3",tell,"tell a joke","말하다 농담을",정상
"Day 3",tell,"tell a lie","말하다 거짓말을",정상
"Day 3",tell,"tell a reason","말하다 이유를",정상
"Day 3",tell,"tell a secret","말하다 비밀을",정상
"Day 3",tell,"tell a story","말하다 이야기를",정상
"Day 3",tell,"tell a tale","말하다 이야기를",정상
"Day 3",write,"I write the chunking list",,"한글 번역 없음"
"Day 3",write,"write the email","쓰다 이메일을",정상
"Day 3",write,"write the essay","쓰다 에세이를",정상
"Day 3",write,"write the letter","쓰다 편지를",정상
"Day 3",write,"write the list","쓰다 목록을",정상
"Day 3",write,"write the message","쓰다 메시지를",정상
"Day 3",write,"write the report","쓰다 보고서를",정상
"Day 3",write,"write the story","쓰다 이야기를",정상
"Day 3",read,"I read aloud",,"한글 번역 없음"
"Day 3",read,"read aloud","읽다 큰소리로",정상
"Day 3",read,"read attentively","읽다 신중하게",정상
"Day 3",read,"read carefully","읽다 주의 깊게",정상
"Day 3",read,"read clearly","읽다 명확하게",정상
"Day 3",read,"read quickly","읽다 빠르게",정상
"Day 3",read,"read quietly","읽다 조용히",정상
"Day 3",read,"read slowly","읽다 천천히",정상
"Day 4",repeat,"I repeat chunking",,"한글 번역 없음"
"Day 4",repeat,"repeat chunking","반복하다 청킹을",정상
"Day 4",repeat,"repeat the content","반복하다 내용을",정상
"Day 4",repeat,"repeat the message","반복하다 메시지를",정상
"Day 4",repeat,"repeat the point","반복하다 요점을",정상
"Day 4",repeat,"repeat the sentence","따라말하다 문장을",정상
"Day 4",repeat,"repeat the story","반복하다 이야기를",정상
"Day 4",repeat,"repeat the word","따라말하다 단어를",정상
"Day 4",use,"I use easy words",,"한글 번역 없음"
"Day 4",use,"use the body","사용하다 몸을",정상
"Day 4",use,"use the hands","사용하다 손을",정상
"Day 4",use,"use the head","사용하다 머리를",정상
"Day 4",use,"use the name","사용하다 이름을",정상
"Day 4",use,"use the time","사용하다 시간을",정상
"Day 4",use,"use the voice","사용하다 목소리를",정상
"Day 4",use,"use the words","사용하다 단어를",정상
"Day 4","think in","I think in English",,"한글 번역 없음"
"Day 4","think in","think in Chinese","생각하다 중국어로",정상
"Day 4","think in","think in English","생각하다 영어로",정상
"Day 4","think in","think in French","생각하다 프랑스어로",정상
"Day 4","think in","think in German","생각하다 독일어로",정상
"Day 4","think in","think in Japanese","생각하다 일본어로",정상
"Day 4","think in","think in Korean 37",,"한글 번역 없음"
"Day 4","think in","think in Spanish","생각하다 스페인어로",정상
"Day 5",train,"I train chunking",,"한글 번역 없음"
"Day 5",train,"train chunking","훈련하다 청킹을",정상
"Day 5",train,"train the arms","훈련하다 팔을",정상
"Day 5",train,"train the body","훈련하다 신체를",정상
"Day 5",train,"train the brain","훈련하다 두뇌를",정상
"Day 5",train,"train the memory","훈련하다 기억력을",정상
"Day 5",train,"train the mind","훈련하다 마음을",정상
"Day 5",train,"train the muscle","훈련하다 근육을",정상
"Day 5",plant,"I plant my English tree",,"한글 번역 없음"
"Day 5",plant,"plant the crop","심다 농작물을",정상
"Day 5",plant,"plant the flower","심다 꽃을",정상
"Day 5",plant,"plant the grass","심다 잔디를",정상
"Day 5",plant,"plant the sapling","심다 묘목을",정상
"Day 5",plant,"plant the seed","심다 씨앗을",정상
